"Mars Year","Mission subphase","Sol","Ls","Centroid longitude","Centroid latitude","Area (square km)","Member ID","Sequence ID","Maximum latitude","Minimum latitude","Confidence interval","Missing data"
"      29","B02","      21","      144.700","      30.9500","     -38.5500","       1204378.8","B02_050","","     -26.5500","     -47.6500","      75","yes"
"      29","B02","      22","      145.000","      21.3500","      27.9500","       3589278.5","B02_042","B02_03","      43.2500","      9.65000","      50","no"
"      29","B02","      22","      145.000","     -16.8500","      18.4500","       2141492.8","B02_046+048","B02_03","      36.1500","   -0.0499954","      50","yes"
"      29","B02","      22","      145.000","      97.2500","     -16.3500","       1289256.9","B02_051","","      4.15000","     -47.2500","      50","yes"
"      29","B02","      22","      145.000","      38.1500","     -38.4500","       1790996.8","B02_050","","     -26.1500","     -48.7500","      75","yes"
"      29","B02","      23","      145.500","     -24.2500","      74.8500","       1383927.5","B02_049","","      85.4500","      56.8500","      75","no"
"      29","B02","      23","      145.500","     -13.0500","      25.5500","       1602657.6","B02_046+048","B02_03","      44.3500","      4.75001","      50","yes"
"      29","B02","      23","      145.500","      27.2500","      23.8500","       3515497.2","B02_042","B02_03","      38.0500","      9.45000","      50","yes"
"      29","B02","      23","      145.500","      40.0500","     -37.2500","       1038446.4","B02_050","","     -29.4500","     -45.8500","      50","yes"
"      29","B02","      23","      145.500","      98.3500","     -19.5500","       1918263.1","B02_051","","     -1.64999","     -38.5500","      75","no"
"      29","B02","      23","      145.500","      81.6500","     -37.9500","       948157.50","B02_053","","     -24.3500","     -50.3500","      50","yes"
"      29","B02","      24","      146.000","     -24.1500","      76.1500","       1351084.4","B02_049","","      87.1500","      57.2500","      75","no"
"      29","B02","      24","      146.000","     -15.4500","      25.3500","       1601669.8","B02_046+048","B02_03","      43.4500","      6.95000","      75","no"
"      29","B02","      24","      146.000","      28.4500","      25.2500","       4056034.5","B02_042","B02_03","      43.4500","      6.95000","      50","yes"
"      29","B02","      24","      146.000","     -31.6500","      26.1500","       304577.97","B02_052","B02_03","      37.0500","      19.2500","     100","no"
"      29","B02","      24","      146.000","      58.4500","     -41.3500","       960549.94","B02_050","","     -30.5500","     -53.5500","      50","yes"
"      29","B02","      24","      146.000","      84.9500","     -37.6500","       1502854.9","B02_053","","     -21.8500","     -53.7500","      50","yes"
"      29","B02","      24","      146.000","     -116.550","     -10.0500","       316353.19","B02_054","","     -4.35000","     -15.2500","      75","no"
"      29","B02","      24","      146.000","      107.550","     -21.8500","       2269207.2","B02_051","","      3.75001","     -46.6500","      50","yes"
"      29","B02","      25","      146.500","     -35.2500","      77.1500","       1238940.8","B02_049","","      86.3500","      58.5500","      75","no"
"      29","B02","      25","      146.500","     -32.3500","      27.0500","       790401.19","B02_052","B02_03","      34.7500","      18.6500","     100","no"
"      29","B02","      25","      146.500","      91.6500","     -4.14999","       888247.56","B02_056","","      5.85001","     -12.1500","      75","no"
"      29","B02","      25","      146.500","      111.850","     -21.7500","       2296844.5","B02_051","","      7.05000","     -41.2500","      50","no"
"      29","B02","      25","      146.500","     -6.54999","      31.4500","       1390592.2","B02_046+048","B02_03","      49.7500","      14.0500","      75","no"
"      29","B02","      25","      146.500","     -15.1500","     -44.3500","       52842.625","B02_068","","     -41.5500","     -47.0500","      75","no"
"      29","B02","      26","      146.900","     -44.7500","      75.7500","       1440921.4","B02_049","","      87.1500","      57.5500","      75","no"
"      29","B02","      26","      146.900","      91.6500","    -0.949997","       701467.31","B02_056","","      11.6500","     -10.2500","      75","no"
"      29","B02","      26","      146.900","      116.850","     -18.1500","       1999133.1","B02_051","","      9.15000","     -45.1500","      50","no"
"      29","B02","      26","      146.900","     -25.5500","      27.1500","       649760.19","B02_052","B02_03","      38.0500","      19.2500","     100","no"
"      29","B02","      26","      146.900","     -6.45000","      34.8500","       896315.50","B02_046+048","B02_03","      47.8500","      21.1500","      75","no"
"      29","B02","      26","      146.900","      95.9500","     -38.8500","       1452284.5","B02_053","","     -23.0500","     -55.5500","      50","yes"
"      29","B02","      27","      147.400","     -159.250","      35.5500","       278417.19","B02_057","","      41.3500","      29.8500","     100","no"
"      29","B02","      27","      147.400","     -38.5500","      72.5500","       1419647.4","B02_049","","      84.0500","      56.6500","      75","no"
"      29","B02","      27","      147.400","     -21.0500","      27.3500","       768000.25","B02_052","B02_03","      36.8500","      18.4500","      75","no"
"      29","B02","      27","      147.400","     0.350006","      36.9500","       1110776.1","B02_046+048","B02_03","      49.2500","      24.4500","      50","no"
"      29","B02","      27","      147.400","      77.5500","     -35.8500","       266512.53","B02_068","","     -29.2500","     -40.6500","      50","yes"
"      29","B02","      27","      147.400","      107.450","     -36.9500","       2659503.5","B02_053","","     -23.4500","     -51.9500","      50","yes"
"      29","B02","      28","      147.900","     -17.0500","      23.5500","       1066546.0","B02_052","B02_03","      38.2500","      10.0500","      75","no"
"      29","B02","      28","      147.900","     -39.0500","      69.6500","       961994.00","B02_049","","      80.2500","      44.6500","      75","no"
"      29","B02","      28","      147.900","     -152.850","      35.5500","       242193.62","B02_057","","      40.3500","      31.7500","     100","no"
"      29","B02","      28","      147.900","      63.7500","      25.4500","       335739.19","B02_058","B02_03","      32.8500","      18.6500","      75","no"
"      29","B02","      28","      147.900","     -127.350","      74.5500","       301920.16","B02_059","","      80.2500","      67.4500","     100","no"
"      29","B02","      28","      147.900","      52.0500","     -41.7500","       388834.72","B02_060","","     -53.0500","     -53.0500","      50","yes"
"      29","B02","      28","      147.900","      99.4500","     -10.4500","       694220.31","B02_056","","     -2.85000","     -21.7500","      75","no"
"      29","B02","      28","      147.900","      98.2500","     -35.5500","       616113.38","B02_053","","     -23.2500","     -47.2500","      50","yes"
"      29","B02","      28","      147.900","      76.2500","     -34.7500","       291127.66","B02_068","","     -28.0500","     -40.5500","      75","yes"
"      29","B02","      29","      148.400","     -153.550","      34.0500","       267381.88","B02_057","","      38.8500","      29.8500","      75","no"
"      29","B02","      29","      148.400","      67.5500","      19.3500","       789941.75","B02_058","B02_03","      30.1500","      9.05000","      75","no"
"      29","B02","      29","      148.400","     -34.5500","      69.3500","       1176588.8","B02_049","","      82.1500","      46.8500","      75","no"
"      29","B02","      29","      148.400","     -108.850","      70.0500","       1343725.1","B02_059","","      82.7500","      59.9500","     100","no"
"      29","B02","      29","      148.400","     -12.7500","      22.3500","       866196.88","B02_052","B02_03","      35.3500","      9.85001","      75","no"
"      29","B02","      29","      148.400","      95.3500","     -33.9500","       1117605.0","B02_053","","     -22.6500","     -46.9500","      75","yes"
"      29","B02","      30","      148.800","     -149.250","      35.4500","       515819.28","B02_057","","      42.0500","      27.9500","      75","no"
"      29","B02","      30","      148.800","     -30.3500","      62.6500","       697993.56","B02_049","","      70.7500","      49.6500","      75","no"
"      29","B02","      30","      148.800","     -103.950","      71.7500","       1253122.1","B02_059","","      83.3500","      62.4500","      75","no"
"      29","B02","      30","      148.800","     -33.1500","     -22.7500","       1059894.1","B02_061","","     -5.55000","     -41.2500","      75","no"
"      29","B02","      30","      148.800","      130.150","      14.1500","       82115.141","B02_065","","      17.6500","      10.7500","      75","no"
"      29","B02","      31","      149.300","     -31.3500","     -15.3500","       1394293.5","B02_061","","      1.45000","     -30.4500","      75","no"
"      29","B02","      31","      149.300","      131.050","      26.6500","       402553.41","B02_063","","      20.1500","      20.0500","      75","no"
"      29","B02","      31","      149.300","      69.3500","      73.5500","       190465.75","B02_064","","      77.3500","      69.5500","      75","no"
"      29","B02","      31","      149.300","     -69.2500","      66.2500","       1489826.8","B02_059","","      79.0500","      54.8500","      75","no"
"      29","B02","      32","      149.800","     -7.34999","     -43.2500","       173400.95","B02_062","","     -39.6500","     -47.8500","      75","no"
