,Mars Year,Mission subphase,Sol,Ls,Centroid longitude,Centroid latitude,Area (square km),Member ID,Sequence ID,Maximum latitude,Minimum latitude,Confidence interval,Missing data
3748,32,D16,12,20.4,-29.65,-60.45,55130.523,D16_039,,-57.55,-63.85,75,1
3749,32,D16,12,20.4,113.15,-57.95,177668.19,D16_045,D16_03,-53.15,-63.05,75,1
3750,32,D16,12,20.4,-112.35,-62.45,61711.605,D16_047,,-58.95,-65.95,75,1
3751,32,D16,13,20.9,9.25,55.05,1220077.9,D16_010,D16_02,75.45,26.95,75,1
3752,32,D16,13,20.9,-9.25,-60.35,51987.488,D16_039,,-58.15,-62.45,50,1
3753,32,D16,13,20.9,134.95,-60.55,785629.38,D16_045,D16_03,-49.75,-67.45,75,1
3754,32,D16,13,20.9,-154.95,-61.45,74222.93,D16_043,D16_03,-58.35,-65.35,75,1
3755,32,D16,13,20.9,35.35,-52.05,21728.355,D16_049,,-50.85,-53.05,75,1
3756,32,D16,13,20.9,-64.85,-43.15,130438.58,D16_041,,-40.05,-46.15,75,1
3757,32,D16,14,21.3,37.25,51.45,1313327.9,D16_010,D16_02,68.75,30.05,50,0
3758,32,D16,14,21.3,-27.35,57.85,399019.94,D16_011,D16_02,65.85,47.85,75,1
3759,32,D16,14,21.3,-100.95,-61.85,357021.72,D16_043,D16_03,-55.65,-67.35,75,1
3760,32,D16,14,21.3,-145.25,-45.85,287701.44,D16_048,,-37.55,-52.15,50,1
3761,32,D16,14,21.3,148.35,-65.25,960253.94,D16_045,D16_03,-55.65,-73.65,50,0
3762,32,D16,14,21.3,4.25,-55.15,148494.5,D16_039,,-49.75,-59.45,75,1
3763,32,D16,14,21.3,172.85,-60.15,11801.163,D16_051,D16_03,-58.75,-61.15,75,1
3764,32,D16,14,21.3,114.65,-59.55,252157.94,D16_052,D16_03,-50.65,-66.95,50,1
3765,32,D16,15,21.8,5.85001,61.75,1279587.4,D16_011,D16_02,78.75,36.55,75,1
3766,32,D16,15,21.8,-98.15,-52.65,842100.44,D16_043,D16_03,-43.95,-60.35,75,0
3767,32,D16,15,21.8,-179.05,-52.95,499498.53,D16_051,D16_03,-43.75,-63.45,75,1
3768,32,D16,15,21.8,133.05,-56.95,532408.06,D16_052,D16_03,-45.05,-66.35,75,1
3769,32,D16,15,21.8,28.55,-51.05,376814.53,D16_039,,-46.65,-56.15,50,1
3770,32,D16,16,22.2,-8.25,46.95,42276.265999999996,D16_011,D16_02,48.35,45.35,50,1
3771,32,D16,16,22.2,-93.75,-42.05,268974.75,D16_043,D16_03,-37.55,-46.55,50,1
3772,32,D16,16,22.2,163.35,-62.15,621019.88,D16_052,D16_03,-54.55,-69.25,50,0
3773,32,D16,17,22.6,54.95,61.65,409838.91,D16_011,D16_02,68.15,55.75,50,1
3774,32,D16,17,22.6,-18.45,63.95,323311.53,D16_013,D16_02,74.75,49.85,75,1
3775,32,D16,17,22.6,-102.15,62.65,81024.25,D16_014,,66.05,60.15,75,1
3776,32,D16,17,22.6,178.75,-62.85,586020.44,D16_052,D16_03,-54.95,-70.35,50,0
3777,32,D16,17,22.6,-81.25,-59.85,1602428.8,D16_051,D16_03,-46.65,-69.25,50,0
3778,32,D16,17,22.6,-114.95,-48.25,30594.406000000003,D16_054,,-46.45,-49.65,75,1
3779,32,D16,17,22.6,98.65,-62.35,208673.97,D16_055,D16_03,-55.65,-67.45,75,1
3780,32,D16,18,23.1,15.55,59.95,917840.69,D16_013,D16_02,75.65,46.75,50,1
3781,32,D16,18,23.1,-45.85,58.85,652358.94,D16_014,D16_02,65.85,46.35,50,1
3782,32,D16,18,23.1,-160.85,62.75,433878.5,D16_016,D16_02,70.85,54.85,75,1
3783,32,D16,18,23.1,122.15,-61.15,1001422.5,D16_055,D16_03,-49.95,-68.65,75,0
3784,32,D16,18,23.1,-115.95,-65.65,130605.07,D16_050,,-61.65,-69.85,50,0
3785,32,D16,18,23.1,34.75,-55.95,151854.56,D16_056,,-51.85,-61.35,75,1
3786,32,D16,18,23.1,48.35,-37.05,37894.559,D16_057,,-35.25,-38.65,75,1
3787,32,D16,18,23.1,-40.55,-37.15,142903.75,D16_059,,-33.75,-41.15,50,1
3788,32,D16,19,23.5,61.65,66.95,810962.88,D16_013,D16_02,82.25,55.55,50,1
3789,32,D16,19,23.5,-0.25,61.65,1042037.6,D16_014,D16_02,78.35,33.45,75,1
3790,32,D16,19,23.5,-120.85,61.05,281547.59,D16_016,D16_02,66.05,56.75,50,1
3791,32,D16,19,23.5,128.75,-58.75,947225.5,D16_055,D16_03,-47.55,-69.05,75,1
3792,32,D16,19,23.5,-100.75,-57.45,249070.25,D16_050,,-52.05,-62.85,75,1
3793,32,D16,19,23.5,173.15,-55.45,17265.996,D16_053,,-54.35,-56.55,100,1
3794,32,D16,19,23.5,-41.15,-41.75,746562.25,D16_059,,-33.95,-48.65,50,1
3795,32,D16,19,23.5,-54.75,-61.15,62120.43,D16_060,,-58.75,-63.25,75,1
3796,32,D16,20,23.9,87.35,59.35,615671.94,D16_013,D16_02,73.15,44.65,50,1
3797,32,D16,20,23.9,140.95,62.05,547337.88,D16_017,D16_02,67.55,54.45,50,1
3798,32,D16,20,23.9,-52.95,54.45,204781.78,D16_018,,58.35,49.65,50,1
3799,32,D16,20,23.9,140.25,-62.65,938051.0,D16_055,D16_03,-50.85,-72.15,50,0
3800,32,D16,20,23.9,174.75,-60.35,140541.58,D16_053,,-56.45,-64.45,75,1
3801,32,D16,20,23.9,-74.45,-46.05,7465.4961,D16_061,,-45.45,-46.55,100,1
3802,32,D16,20,23.9,32.05,-53.85,300406.66,D16_062,,-48.55,-60.55,50,1
3803,32,D16,20,23.9,-158.55,-59.15,42220.359000000004,D16_063,,-57.05,-60.75,75,1
3804,32,D16,21,24.4,145.05,58.65,1255730.9,D16_017,D16_02,69.95,44.45,75,1
3805,32,D16,21,24.4,-174.85,-57.25,55472.305,D16_053,D16_03,-55.45,-59.05,75,1
3806,32,D16,21,24.4,-128.45,-62.45,386294.88,D16_063,,-56.85,-69.05,50,0
3807,32,D16,21,24.4,142.05,-55.05,292098.78,D16_055,D16_03,-50.25,-61.15,50,1
3808,32,D16,21,24.4,-16.55,-60.35,10681.462,D16_064,,-59.55,-60.95,75,1
3809,32,D16,21,24.4,112.15,-61.35,442665.84,D16_065,D16_03,-54.95,-67.45,75,0
3810,32,D16,21,24.4,167.65,-48.45,195300.41,D16_066,D16_03,-43.55,-53.65,75,1
3811,32,D16,22,24.8,-13.75,51.05,658558.75,D16_020,D16_02,62.75,41.35,75,1
3812,32,D16,22,24.8,169.25,58.05,2986165.5,D16_017,D16_02,72.55,40.35,75,1
3813,32,D16,22,24.8,-150.05,-57.25,163281.81,D16_053,D16_03,-51.05,-61.15,75,1
3814,32,D16,22,24.8,-76.05,-58.55,277654.53,D16_070,,-52.75,-64.95,75,1
3815,32,D16,22,24.8,-89.25,-42.55,15288.875,D16_072,,-41.65,-43.65,50,1
3816,32,D16,22,24.8,26.65,-59.05,96371.43,D16_067,,-55.65,-61.95,75,1
3817,32,D16,22,24.8,147.45,-64.15,939210.5,D16_065,D16_03,-56.45,-70.15,75,0
3818,32,D16,23,25.3,-172.45,58.85,3487419.8,D16_017,D16_02,72.55,38.45,75,1
3819,32,D16,23,25.3,-83.55,-59.45,1124721.8,D16_053+070,,-48.15,-69.45,75,1
3820,32,D16,23,25.3,36.05,-54.05,147598.72,D16_067,,-49.95,-59.45,50,1
3821,32,D16,23,25.3,173.05,-57.75,592152.38,D16_065,D16_03,-40.05,-69.45,50,0
3822,32,D16,23,25.3,107.65,-64.25,513917.0,D16_073,D16_03,-58.35,-69.65,50,0
3823,32,D16,24,25.7,-150.85,59.75,2231998.2,D16_017,D16_02,72.05,46.35,75,0
3824,32,D16,24,25.7,-148.45,-61.85,439430.62,D16_065,D16_03,-54.75,-68.05,50,0
3825,32,D16,24,25.7,130.65,-59.25,784245.62,D16_073,D16_03,-48.55,-67.85,50,0
3826,32,D16,25,26.1,-101.25,59.65,3257174.2,D16_017,D16_02,73.75,44.65,75,1
3827,32,D16,25,26.1,-151.05,63.45,320714.19,D16_019,D16_02,68.75,57.65,75,1
3828,32,D16,25,26.1,11.15,48.55,50308.566,D16_015,,51.25,45.75,100,1
3829,32,D16,25,26.1,-70.55,-32.35,98023.102,D16_078,,-28.55,-35.55,50,1
3830,32,D16,26,26.6,-81.35,57.95,2662471.0,D16_017,D16_02,70.25,47.15,75,1
3831,32,D16,26,26.6,-173.95,52.85,1334977.9,D16_019,D16_02,70.45,38.45,75,1
3832,32,D16,26,26.6,-75.55,-63.45,735670.62,D16_063,D16_03,-56.65,-70.75,50,0
3833,32,D16,26,26.6,116.25,-63.05,121679.78,D16_075,D16_03,-59.95,-65.95,75,1
3834,32,D16,26,26.6,165.95,-60.35,785241.0,D16_073,D16_03,-53.95,-65.55,75,0
3835,32,D16,27,27.0,-173.55,37.55,1095039.9,D16_019,D16_02,56.85,23.65,50,0
3836,32,D16,27,27.0,-25.45,55.75,839192.75,D16_017,D16_02,68.15,44.65,50,1
3837,32,D16,27,27.0,-63.95,-41.15,165197.0,D16_068,,-37.55,-44.65,75,1
3838,32,D16,27,27.0,-73.35,-58.05,225045.0,D16_071,,-50.65,-65.95,50,1
3839,32,D16,27,27.0,143.95,-61.55,417156.72,D16_075,D16_03,-52.25,-68.85,75,0
3840,32,D16,27,27.0,-152.95,-57.65,501527.62,D16_073,D16_03,-47.45,-64.95,50,0
3841,32,D16,28,27.4,86.75,57.85,600501.81,D16_012,,64.15,52.55,50,1
3842,32,D16,28,27.4,-68.65,-62.45,94744.211,D16_071,,-57.95,-66.55,50,0
3843,32,D16,28,27.4,-1.34999,-48.95,157417.56,D16_076,,-45.45,-52.15,75,1
3844,32,D16,28,27.4,-110.75,-58.95,756274.94,D16_073,D16_03,-51.85,-67.15,75,0
3845,32,D16,28,27.4,177.25,-58.95,389398.44,D16_075,D16_03,-52.55,-64.95,50,0
3846,32,D16,29,27.8,-39.75,-59.45,315709.56,D16_071,,-52.95,-63.45,75,0
3847,32,D16,29,27.8,-68.65,-49.75,12543.56,D16_074,,-48.75,-50.55,75,1
3848,32,D16,29,27.8,38.85,-50.95,272200.12,D16_076,,-44.35,-55.55,75,1
3849,32,D16,29,27.8,-156.35,-61.05,530652.94,D16_075,D16_03,-53.55,-67.65,75,0
3850,32,D16,29,27.8,163.65,-50.35,174069.89,D16_075b,D16_03,-44.75,-56.55,75,1
3851,32,D16,29,27.8,128.35,-54.75,140052.7,D16_080,D16_03,-52.05,-58.65,75,1
3852,32,D16,30,28.3,-89.05,-60.85,1032941.1,D16_075,D16_03,-49.15,-68.65,50,0
3853,32,D16,30,28.3,15.75,-63.65,148540.89,D16_081,,-59.75,-66.95,50,0
3854,32,D16,30,28.3,-3.84999,-56.45,50906.52,D16_082,,-53.95,-59.45,75,1
3855,32,D16,31,28.8,-30.95,54.35,1011121.1,D16_021,,70.05,39.65,75,1
3856,32,D16,31,28.8,-77.25,-59.65,946527.38,D16_075,D16_03,-50.25,-66.75,50,0
3857,32,D16,31,28.8,138.35,-56.15,683634.19,D16_077,D16_03,-49.95,-62.15,75,0
3858,32,D16,31,28.8,-177.05,-34.05,33164.5,D16_079,,-32.45,-35.55,75,1
3859,32,D16,31,28.8,27.85,-53.15,523018.59,D16_082,,-47.75,-57.45,75,1
3860,32,D16,32,29.1,-15.15,54.75,945385.31,D16_021,,68.35,41.15,75,1
3861,32,D17,1,29.6,-1.8499900000000002,53.25,2020087.4,D16_021,,72.55,36.75,75,1
3862,32,D17,2,30.1,35.55,-52.85,72835.227,D17_002,,-50.65,-54.65,100,1
3863,32,D17,2,30.1,131.85,-54.25,351708.41,D17_003,D16_03,-49.55,-59.05,75,0
3864,32,D17,2,30.1,164.45,-47.35,185533.91,D17_004,D16_03,-43.35,-51.75,75,0
3865,32,D17,2,30.1,-159.25,-39.25,36281.293,D17_006,,-37.75,-41.15,75,1
3866,32,D17,2,30.1,-95.05,-54.75,311746.78,D17_001,D16_03,-51.05,-59.05,75,0
3867,32,D17,2,30.1,20.35,50.85,1707153.1,D16_021,,71.65,36.55,50,1
3868,32,D17,3,30.5,-101.35,-40.65,96722.45300000001,D17_007,,-38.15,-43.25,75,1
3869,32,D17,3,30.5,-51.55,-22.95,497724.91,D17_008,,-14.35,-31.55,50,1
3870,32,D17,3,30.5,143.95,-59.95,740775.25,D17_003,D16_03,-50.85,-68.45,50,0
3871,32,D17,3,30.5,-158.65,-58.95,388600.88,D17_009,,-51.05,-66.35,50,0
3872,32,D17,3,30.5,25.35,51.85,1486947.0,D16_021,,65.85,35.15,50,1
3873,32,D17,4,30.9,-71.25,-33.55,15609.448,D17_005,,-32.05,-34.85,100,1
3874,32,D17,4,30.9,-173.75,-35.45,10665.451000000001,D17_017,,-34.35,-36.75,100,1
3875,32,D17,5,31.3,-47.35,-26.35,1346217.4,D17_010,D17_01,-13.15,-38.45,75,1
3876,32,D17,5,31.3,-117.75,-44.15,396594.62,D17_011,,-36.05,-51.15,75,1
3877,32,D17,5,31.3,-61.15,-54.55,30995.199,D17_012,,-52.75,-55.95,75,1
3878,32,D17,5,31.3,30.05,-50.35,452557.69,D17_013,,-45.45,-55.75,75,1
3879,32,D17,5,31.3,100.65,-33.05,202727.61,D17_015,,-28.55,-38.65,75,0
3880,32,D17,5,31.3,164.35,-47.15,1880280.0,D17_003,D16_03,-25.45,-62.85,75,0
3881,32,D17,6,31.7,49.05,-49.75,515330.72,D17_013,,-42.75,-56.55,50,1
3882,32,D17,6,31.7,-139.45,-54.85,3155684.5,D17_003,D16_03,-42.45,-66.75,75,0
3883,32,D17,6,31.7,-34.75,-21.95,766108.69,D17_010,D17_01,-10.65,-35.75,75,1
3884,32,D17,6,31.7,139.95,-49.85,30793.553,D17_014,D16_03,-48.55,-51.15,75,1
3885,32,D17,7,32.2,143.45,-50.55,191355.56,D17_014,D16_03,-46.85,-54.25,75,1
3886,32,D17,7,32.2,168.05,-58.05,466008.41,D17_016,D16_03,-52.05,-63.65,50,0
3887,32,D17,7,32.2,164.85,-46.55,180560.34,D17_018,,-42.75,-51.15,75,1
3888,32,D17,7,32.2,-159.35,-38.95,20988.83,D17_020,,-37.55,-40.55,75,1
3889,32,D17,7,32.2,-130.55,-44.95,301808.47,D17_021,,-37.05,-49.45,75,1
3890,32,D17,7,32.2,38.55,-58.35,131149.36,D17_023,,-54.35,-61.75,75,0
3891,32,D17,7,32.2,-5.54999,-54.45,63340.594000000005,D17_024,,-51.25,-57.85,75,1
3892,32,D17,7,32.2,-55.65,-30.55,422502.94,D17_025,D17_01,-22.55,-38.25,75,1
3893,32,D17,7,32.2,-44.25,51.35,87771.45300000001,D17_094,,54.95,48.05,75,1
3894,32,D17,8,32.6,179.05,-54.95,69357.75,D17_016,D16_03,-50.25,-58.85,75,1
3895,32,D17,8,32.6,141.15,-32.75,63798.277,D17_019,,-30.65,-34.65,50,1
3896,32,D17,8,32.6,-95.95,-42.45,207437.64,D17_021,,-38.15,-47.45,75,1
3897,32,D17,8,32.6,-142.85,-59.05,890881.06,D17_022,,-47.75,-68.25,50,0
3898,32,D17,8,32.6,44.15,-51.15,288749.72,D17_023,,-45.85,-57.45,75,1
3899,32,D17,8,32.6,-53.55,-19.35,841743.12,D17_025,D17_01,-10.45,-30.55,75,1
3900,32,D17,8,32.6,126.55,-55.35,67991.195,D17_027,D16_03,-53.15,-57.45,75,1
3901,32,D17,8,32.6,-26.65,-25.55,286996.97,D17_029,D17_01,-19.15,-31.95,75,0
3902,32,D17,8,32.6,-51.65,64.25,193201.11,D17_093,,70.25,54.65,75,1
3903,32,D17,9,33.0,-47.15,-21.95,1149721.1,D17_025,D17_01,-9.55,-34.85,50,1
3904,32,D17,9,33.0,-31.85,59.65,404280.84,D17_093,,70.05,47.15,75,1
3905,32,D17,10,33.5,40.95,-48.95,282428.84,D17_028,,-45.25,-54.05,75,1
3906,32,D17,10,33.5,131.05,-53.25,566684.94,D17_030,D16_03,-46.65,-60.35,75,0
3907,32,D17,10,33.5,156.15,-48.55,414770.03,D17_031,D16_03,-37.55,-57.65,75,1
3908,32,D17,10,33.5,-38.75,-33.85,152000.02,D17_025,D17_01,-29.15,-37.45,75,1
3909,32,D17,10,33.5,-116.85,-41.15,203034.7,D17_032,,-35.85,-45.15,75,1
3910,32,D17,10,33.5,-84.55,-46.65,116654.64,D17_033,D17_01,-44.55,-48.65,75,1
3911,32,D17,10,33.5,-28.35,60.95,465284.56,D17_093,,68.15,53.65,75,1
3912,32,D17,11,33.9,154.15,-42.45,987981.38,D17_030,D16_03,-25.85,-54.45,75,1
3913,32,D17,11,33.9,-175.95,-54.45,567000.0,D17_031,D16_03,-46.85,-60.35,75,0
3914,32,D17,11,33.9,-36.45,-29.05,534905.62,D17_025,D17_01,-20.05,-39.05,50,1
3915,32,D17,11,33.9,-65.25,-39.75,237915.12,D17_033,D17_01,-36.05,-42.35,75,1
3916,32,D17,12,34.3,-137.95,-53.35,211084.88,D17_031,D16_03,-46.05,-58.45,75,1
3917,32,D17,12,34.3,-32.05,-25.05,338599.34,D17_025,D17_01,-18.35,-30.95,50,1
3918,32,D17,12,34.3,-54.75,-26.65,423572.94,D17_033,D17_01,-17.55,-33.85,75,0
